Angle: 2
Angle: 8
Track Num: 1
Shower Num: 1
Angle: 8
Track Num: 0
Shower Num: 1
Angle: 8
Track Num: 0
Shower Num: 2
Angle: 8
Track Num: 0
Shower Num: 1
Angle: 8
Track Num: 0
Shower Num: 1
Angle: 8
Track Num: 2
Shower Num: 2
Angle: 8
Track Num: 0
Shower Num: 1
Angle: 8
Track Num: 0
Shower Num: 2
Angle: 8
Track Num: 1
Shower Num: 1
Angle: 8
Track Num: 1
Shower Num: 2
Angle: 8
Track Num: 2
Shower Num: 0
Angle: 8
Track Num: 3
Shower Num: 1
Angle: 8
Track Num: 0
Shower Num: 1
Angle: 8
Track Num: 2
Shower Num: 1
Angle: 8
Track Num: 0
Shower Num: 1
Angle: 9
Angle: 9
Track Num: 1
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 2
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 2
Angle: 9
Track Num: 2
Shower Num: 2
Angle: 9
Track Num: 2
Shower Num: 1
Angle: 9
Track Num: 2
Shower Num: 2
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 3
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 2
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 3
Angle: 9
Track Num: 3
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 3
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 2
Angle: 9
Track Num: 1
Shower Num: 1
Angle: 9
Track Num: 2
Shower Num: 0
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 2
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 2
Shower Num: 2
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 3
Angle: 9
Track Num: 2
Shower Num: 3
Angle: 9
Track Num: 2
Shower Num: 2
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 2
Shower Num: 2
Angle: 9
Track Num: 1
Shower Num: 2
Angle: 9
Track Num: 2
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 0
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 0
Shower Num: 1
Angle: 9
Track Num: 3
Shower Num: 1
Angle: 9
Track Num: 4
Shower Num: 0
Angle: 9
Track Num: 1
Shower Num: 1
Angle: 9
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 0
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 2
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 2
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 0
Angle: 10
Track Num: 1
Shower Num: 0
Angle: 10
Track Num: 0
Shower Num: 2
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 2
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 2
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 2
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 2
Angle: 10
Track Num: 2
Shower Num: 2
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 4
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 2
Shower Num: 1
Angle: 10
Track Num: 2
Shower Num: 2
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 2
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 2
Shower Num: 1
Angle: 10
Track Num: 1
Shower Num: 1
Angle: 10
Track Num: 2
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 10
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 1
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 1
Shower Num: 1
Angle: 0
Track Num: 1
Shower Num: 2
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 3
Shower Num: 1
Angle: 0
Track Num: 1
Shower Num: 1
Angle: 0
Track Num: 1
Shower Num: 2
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 5
Shower Num: 2
Angle: 0
Track Num: 1
Shower Num: 2
Angle: 0
Track Num: 0
Shower Num: 2
Angle: 0
Track Num: 1
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 2
Angle: 0
Track Num: 1
Shower Num: 2
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 1
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 1
Angle: 0
Track Num: 0
Shower Num: 2
Angle: 0
Track Num: 0
Shower Num: 2
Angle: 0
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 2
Shower Num: 2
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 1
Angle: 100
Track Num: 3
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 2
Angle: 100
Track Num: 4
Shower Num: 0
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 2
Angle: 100
Track Num: 2
Shower Num: 2
Angle: 100
Track Num: 2
Shower Num: 0
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 2
Shower Num: 2
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 2
Angle: 100
Track Num: 1
Shower Num: 3
Angle: 100
Track Num: 1
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 5
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 0
Angle: 100
Track Num: 1
Shower Num: 0
Angle: 100
Track Num: 4
Shower Num: 1
Angle: 100
Track Num: 2
Shower Num: 1
Angle: 100
Track Num: 2
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 1
Angle: 100
Track Num: 2
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 2
Angle: 100
Track Num: 0
Shower Num: 2
Angle: 100
Track Num: 2
Shower Num: 3
Angle: 100
Track Num: 1
Shower Num: 2
Angle: 100
Track Num: 3
Shower Num: 1
Angle: 100
Track Num: 1
Shower Num: 1
Angle: 100
Track Num: 0
Shower Num: 0
Angle: 100
Track Num: 2
Shower Num: 2
Angle: 100
Track Num: 1
Shower Num: 2
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 2
Shower Num: 8
Angle: 110
Track Num: 2
Shower Num: 2
Angle: 110
Track Num: 2
Shower Num: 0
Angle: 110
Track Num: 2
Shower Num: 0
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 4
Shower Num: 0
Angle: 110
Track Num: 2
Shower Num: 0
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 2
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 2
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 2
Shower Num: 3
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 3
Shower Num: 0
Angle: 110
Track Num: 0
Shower Num: 3
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 2
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 0
Angle: 110
Track Num: 1
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 2
Shower Num: 0
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 2
Shower Num: 1
Angle: 110
Track Num: 3
Shower Num: 1
Angle: 110
Track Num: 1
Shower Num: 2
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 2
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 5
Angle: 110
Track Num: 2
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 2
Shower Num: 2
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 0
Shower Num: 1
Angle: 110
Track Num: 2
